# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FG       = Etmaalgemiddelde windsnelheid (in 0.1 m/s); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# SQ       = Zonneschijnduur (in 0.1 uur) berekend uit de globale straling (-1 voor <0.05 uur); 
# DR       = Duur van de neerslag (in 0.1 uur); 
# NG       = Etmaalgemiddelde bewolking (bedekkingsgraad van de bovenlucht in achtsten, 9=bovenlucht onzichtbaar); 
# 
# STN,YYYYMMDD,   FG,   TG,   SQ,   DR,   NG
# 
  260,20160101,   30,   41,    0,    0,    7
  260,20160102,   57,   54,    3,   70,    8
  260,20160103,   56,   69,   20,  112,    8
  260,20160104,   33,   57,    0,  115,    8
  260,20160105,   33,   68,    0,    7,    8
  260,20160106,   31,   26,    0,    4,    8
  260,20160107,   58,   61,    0,   58,    8
  260,20160108,   43,   54,   59,    0,    1
  260,20160109,   43,   56,    5,    5,    7
  260,20160110,   54,   69,   29,   22,    7
  260,20160111,   37,   48,    0,   20,    7
  260,20160112,   49,   58,   18,   72,    8
  260,20160113,   35,   50,   16,   33,    6
  260,20160114,   52,   35,    0,  101,    8
  260,20160115,   26,   24,    4,    0,    7
  260,20160116,   37,   27,   29,   12,    6
  260,20160117,   23,  -10,   60,    0,    1
  260,20160118,   21,  -33,   69,    0,    5
  260,20160119,   20,  -25,   22,    0,    6
  260,20160120,   15,   12,    8,    0,    7
  260,20160121,   24,  -12,    5,    0,    6
  260,20160122,   44,    9,   43,   50,    5
  260,20160123,   33,   66,   41,    0,    6
  260,20160124,   44,   77,    0,   47,    8
  260,20160125,   39,  107,   48,    0,    6
  260,20160126,   64,   92,   25,   31,    7
  260,20160127,   79,  109,    0,  105,    8
  260,20160128,   45,   67,   72,    9,    4
  260,20160129,   86,   85,    0,   43,    8
  260,20160130,   61,   74,    0,  120,    7
  260,20160131,   43,   68,    6,   78,    7
  260,20160201,   83,  115,    0,   21,    8
  260,20160202,   67,   89,   22,    4,    7
  260,20160203,   41,   50,   51,   27,    5
  260,20160204,   32,   51,    3,   51,    7
  260,20160205,   43,   87,    3,   25,    8
  260,20160206,   53,   94,    0,    5,    8
  260,20160207,   68,   85,   36,   44,    8
  260,20160208,   97,   85,   35,  102,    8
  260,20160209,   50,   53,    0,   63,    7
  260,20160210,   40,   48,   28,   56,    7
  260,20160211,   28,   38,   67,    1,    3
  260,20160212,   27,   27,   36,    0,    5
  260,20160213,   42,   18,   37,   24,    5
  260,20160214,   45,   14,    0,  235,    8
  260,20160215,   41,   23,   55,    1,    5
  260,20160216,   13,   -3,   86,    0,    1
  260,20160217,   23,  -13,   84,    0,    1
  260,20160218,   29,   13,    2,   51,    8
  260,20160219,   34,   39,   51,   20,    6
  260,20160220,   65,   82,    0,  123,    8
  260,20160221,   75,  104,    0,   79,    8
  260,20160222,   42,   68,    0,   58,    8
  260,20160223,   26,   43,   60,   14,    4
  260,20160224,   18,   23,   60,    6,    4
  260,20160225,   23,   18,   51,    9,    5
  260,20160226,   16,   21,   17,    0,    8
  260,20160227,   40,   22,   95,    0,    5
  260,20160228,   38,   22,   85,    0,    4
  260,20160229,   26,   13,   97,    0,    1
  260,20160301,   48,   20,    0,   75,    8
  260,20160302,   50,   53,   36,   55,    7
  260,20160303,   27,   39,   74,    7,    5
  260,20160304,   37,   10,    5,   95,    7
  260,20160305,   16,    5,   37,    3,    5
  260,20160306,   18,   30,   25,   19,    7
  260,20160307,   14,   25,   46,   15,    6
  260,20160308,   28,   36,   52,    0,    7
  260,20160309,   58,   44,   44,    0,    8
  260,20160310,   30,   41,   88,    0,    7
  260,20160311,   28,   32,   95,    0,    3
  260,20160312,   25,   31,  103,    0,    0
  260,20160313,   38,   39,  100,    0,    1
  260,20160314,   41,   41,  102,    0,    7
  260,20160315,   28,   46,   17,    0,    7
  260,20160316,   50,   44,   95,    0,    1
  260,20160317,   33,   57,  102,    0,    1
  260,20160318,   26,   52,    0,    0,    8
  260,20160319,   40,   62,    0,    0,    8
  260,20160320,   27,   68,   23,   19,    8
  260,20160321,   28,   72,    0,   11,    8
  260,20160322,   28,   76,    9,    1,    7
  260,20160323,   26,   76,   28,   12,    8
  260,20160324,   33,   79,    0,    4,    8
  260,20160325,   39,   65,   17,   87,    6
  260,20160326,   58,   95,  102,    0,    7
  260,20160327,   55,   91,   36,   51,    7
  260,20160328,   80,   97,   62,   12,    7
  260,20160329,   54,   78,   38,   58,    7
  260,20160330,   43,   81,   80,    5,    8
  260,20160331,   28,   76,   15,    0,    8
  260,20160401,   22,   72,  104,    0,    6
  260,20160402,   27,  101,   14,    0,    8
  260,20160403,   29,  152,   61,   33,    7
  260,20160404,   31,  124,   51,   28,    7
  260,20160405,   30,  106,   20,   41,    7
  260,20160406,   58,   89,   21,   26,    6
  260,20160407,   43,   73,   57,   24,    5
  260,20160408,   20,   67,   24,   25,    7
  260,20160409,   32,   92,   83,    0,    8
  260,20160410,   28,  107,  106,   25,    3
  260,20160411,   62,  132,  127,    0,    3
  260,20160412,   28,  116,   67,   21,    5
  260,20160413,   22,   90,   80,    0,    6
  260,20160414,   20,  106,   77,    0,    7
  260,20160415,   33,  103,   16,  108,    8
  260,20160416,   49,   86,   51,   20,    7
  260,20160417,   22,   62,   84,   25,    4
  260,20160418,   41,   81,   67,    0,    5
  260,20160419,   33,   97,   87,    0,    6
  260,20160420,   28,   86,  114,    0,    3
  260,20160421,   37,  101,  127,    0,    4
  260,20160422,   37,   87,   46,    0,    8
  260,20160423,   34,   62,   74,   30,    6
  260,20160424,   35,   46,   94,   11,    6
  260,20160425,   35,   49,   17,   33,    7
  260,20160426,   51,   48,   41,   49,    8
  260,20160427,   36,   60,   69,   27,    8
  260,20160428,   30,   58,   97,    9,    6
  260,20160429,   51,   74,   14,   47,    8
  260,20160430,   30,   77,   58,    0,    7
  260,20160501,   23,   79,  119,    0,    3
  260,20160502,   34,  115,  105,    1,    8
  260,20160503,   33,   97,  127,   18,    3
  260,20160504,   18,   95,  102,    0,    5
  260,20160505,   36,  128,  138,    0,    7
  260,20160506,   36,  164,  140,    0,    7
  260,20160507,   36,  195,  142,    0,    4
  260,20160508,   52,  201,  142,    0,    0
  260,20160509,   58,  202,  131,    0,    4
  260,20160510,   34,  189,    9,    0,    8
  260,20160511,   36,  204,   83,    0,    7
  260,20160512,   55,  202,  137,    0,    3
  260,20160513,   52,  154,  135,    0,    5
  260,20160514,   44,   89,   62,    0,    6
  260,20160515,   35,   86,   73,    1,    6
  260,20160516,   26,   93,   42,    5,    7
  260,20160517,   28,  123,   67,    0,    5
  260,20160518,   29,  136,   30,    3,    7
  260,20160519,   22,  134,   10,    4,    8
  260,20160520,   37,  137,   10,   10,    8
  260,20160521,   39,  179,   44,    0,    8
  260,20160522,   24,  155,    2,  102,    8
  260,20160523,   42,  120,    1,  158,    8
  260,20160524,   37,  114,   15,    0,    8
  260,20160525,   17,  118,    2,    4,    8
  260,20160526,   19,  137,   68,    0,    6
  260,20160527,   33,  160,   71,    0,    6
  260,20160528,   24,  176,   73,    0,    5
  260,20160529,   36,  172,   18,    6,    7
  260,20160530,   48,  162,    0,   32,    8
  260,20160531,   29,  182,   67,    0,    6
  260,20160601,   39,  192,   57,    4,    7
  260,20160602,   48,  153,    0,    0,    8
  260,20160603,   22,  164,   35,    0,    8
  260,20160604,   23,  201,   81,    1,    6
  260,20160605,   35,  200,  150,    0,    1
  260,20160606,   29,  189,  146,    0,    4
  260,20160607,   30,  201,   81,    0,    7
  260,20160608,   29,  161,   64,    0,    8
  260,20160609,   30,  153,  150,    0,    5
  260,20160610,   21,  164,   81,    0,    8
  260,20160611,   16,  162,   28,   44,    8
  260,20160612,   13,  166,    8,   26,    8
  260,20160613,   28,  159,   14,   15,    8
  260,20160614,   28,  152,   21,   49,    8
  260,20160615,   20,  146,   39,   19,    8
