"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2013",91,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2014",92,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2015",93,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2016",94,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2017",95,
"AUS","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",94,
"AUS","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",94,
"AUS","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",95,
"AUS","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",95,"E"
"AUT","CHILDVACCIN","DTP","PC_CHILD","A","2013",95,"E"
"AUT","CHILDVACCIN","DTP","PC_CHILD","A","2014",98,
"AUT","CHILDVACCIN","DTP","PC_CHILD","A","2015",98,"E"
"AUT","CHILDVACCIN","DTP","PC_CHILD","A","2016",87,
"AUT","CHILDVACCIN","DTP","PC_CHILD","A","2017",90,
"AUT","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",92,"E"
"AUT","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",96,
"AUT","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",96,"E"
"AUT","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",95,
"AUT","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",96,
"BEL","CHILDVACCIN","DTP","PC_CHILD","A","2013",99,
"BEL","CHILDVACCIN","DTP","PC_CHILD","A","2014",99,
"BEL","CHILDVACCIN","DTP","PC_CHILD","A","2015",99,
"BEL","CHILDVACCIN","DTP","PC_CHILD","A","2016",98,
"BEL","CHILDVACCIN","DTP","PC_CHILD","A","2017",98,
"BEL","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",96,
"BEL","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",96,
"BEL","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",96,
"BEL","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",96,
"BEL","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",96,
"CAN","CHILDVACCIN","DTP","PC_CHILD","A","2013",91,
"CAN","CHILDVACCIN","DTP","PC_CHILD","A","2014",91,"E"
"CAN","CHILDVACCIN","DTP","PC_CHILD","A","2015",91,
"CAN","CHILDVACCIN","DTP","PC_CHILD","A","2016",91,
"CAN","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",90,
"CAN","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",90,"E"
"CAN","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",90,
"CAN","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",90,
"CAN","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",89,
"CZE","CHILDVACCIN","DTP","PC_CHILD","A","2013",99,"E"
"CZE","CHILDVACCIN","DTP","PC_CHILD","A","2014",97,
"CZE","CHILDVACCIN","DTP","PC_CHILD","A","2015",99,"E"
"CZE","CHILDVACCIN","DTP","PC_CHILD","A","2016",96,
"CZE","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",99,"E"
"CZE","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",99,
"CZE","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",99,"E"
"CZE","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",98,
"CZE","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",97,
"DNK","CHILDVACCIN","DTP","PC_CHILD","A","2013",94,
"DNK","CHILDVACCIN","DTP","PC_CHILD","A","2014",94,
"DNK","CHILDVACCIN","DTP","PC_CHILD","A","2015",93,
"DNK","CHILDVACCIN","DTP","PC_CHILD","A","2016",94,
"DNK","CHILDVACCIN","DTP","PC_CHILD","A","2017",98,
"DNK","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",89,
"DNK","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",90,
"DNK","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",91,
"DNK","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",94,
"DNK","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",97,
"FIN","CHILDVACCIN","DTP","PC_CHILD","A","2013",98,
"FIN","CHILDVACCIN","DTP","PC_CHILD","A","2014",98,"E"
"FIN","CHILDVACCIN","DTP","PC_CHILD","A","2015",97,
"FIN","CHILDVACCIN","DTP","PC_CHILD","A","2016",92,
"FIN","CHILDVACCIN","DTP","PC_CHILD","A","2017",89,
"FIN","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",97,
