,LOCATION,TIME,Value
0,AUS,2016,94
1,AUT,2016,91
2,BEL,2016,97
3,BRA,2016,92
4,CAN,2016,90
5,CHE,2016,95
6,CHL,2016,94
7,CHN,2016,99
8,COL,2016,92
9,CRI,2016,95
10,CZE,2016,97
11,DEU,2016,96
12,DNK,2016,94
13,ESP,2016,97
14,EST,2016,93
15,FIN,2016,93
16,FRA,2016,94
17,GBR,2016,93
18,GRC,2016,98
19,HUN,2016,99
20,IDN,2016,86
21,IND,2016,88
22,IRL,2016,93
23,ISL,2016,91
24,ISR,2016,95
25,ITA,2016,89
26,JPN,2016,97
27,KOR,2016,98
28,LTU,2016,94
29,LUX,2016,99
30,LVA,2016,95
31,MEX,2016,97
32,NLD,2016,94
33,NOR,2016,96
34,NZL,2016,92
35,POL,2016,97
36,PRT,2016,98
37,RUS,2016,97
38,SVK,2016,95
39,SVN,2016,93
40,SWE,2016,97
41,TUR,2016,98
42,USA,2016,93
43,ZAF,2016,90
