"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ALCOHOL","TOT","LT_CAP15","A","2013",9.8,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2014",9.5,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2015",9.7,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2013",11.6,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2014",12.2,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2015",11.4,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2013",10.3,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2014",10.6,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2015",10.4,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2013",8.2,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2014",8,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2015",8.1,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2016",8.2,
"CZE","ALCOHOL","TOT","LT_CAP15","A","2013",11.5,
"CZE","ALCOHOL","TOT","LT_CAP15","A","2014",11.9,
"CZE","ALCOHOL","TOT","LT_CAP15","A","2015",11.5,
"CZE","ALCOHOL","TOT","LT_CAP15","A","2016",11.7,
"DNK","ALCOHOL","TOT","LT_CAP15","A","2013",9.4,
"DNK","ALCOHOL","TOT","LT_CAP15","A","2014",9.5,
"DNK","ALCOHOL","TOT","LT_CAP15","A","2015",9.3,
"DNK","ALCOHOL","TOT","LT_CAP15","A","2016",9.4,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2013",9.1,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2014",8.8,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2015",8.5,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2016",8.4,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2013",11.6,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2014",12,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2015",11.9,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2016",11.7,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2013",11.7,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2014",11.6,
