"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SMOKERS","TOT","PC_POP15","A","2013",13,
"AUS","SMOKERS","TOT","PC_POP15","A","2016",12.4,
"AUT","SMOKERS","TOT","PC_POP15","A","2014",24.3,
"BEL","SMOKERS","TOT","PC_POP15","A","2013",18.9,
"CAN","SMOKERS","TOT","PC_POP15","A","2013",14.9,
"CAN","SMOKERS","TOT","PC_POP15","A","2014",14,
"CAN","SMOKERS","TOT","PC_POP15","A","2015",13.1,"B"
"CAN","SMOKERS","TOT","PC_POP15","A","2016",12.5,
"CZE","SMOKERS","TOT","PC_POP15","A","2013",22.2,
"CZE","SMOKERS","TOT","PC_POP15","A","2014",22.3,
"CZE","SMOKERS","TOT","PC_POP15","A","2015",18.2,
"CZE","SMOKERS","TOT","PC_POP15","A","2016",19.6,
"DNK","SMOKERS","TOT","PC_POP15","A","2013",17,
"DNK","SMOKERS","TOT","PC_POP15","A","2017",16.9,
"FIN","SMOKERS","TOT","PC_POP15","A","2013",15.8,
"FIN","SMOKERS","TOT","PC_POP15","A","2014",15.4,
"FIN","SMOKERS","TOT","PC_POP15","A","2015",17.4,
"FIN","SMOKERS","TOT","PC_POP15","A","2016",15,
"FRA","SMOKERS","TOT","PC_POP15","A","2014",22.4,
"DEU","SMOKERS","TOT","PC_POP15","A","2013",20.9,
"DEU","SMOKERS","TOT","PC_POP15","A","2017",18.8,
"GRC","SMOKERS","TOT","PC_POP15","A","2014",27.3,
"HUN","SMOKERS","TOT","PC_POP15","A","2014",25.8,
"ISL","SMOKERS","TOT","PC_POP15","A","2013",11.4,
"ISL","SMOKERS","TOT","PC_POP15","A","2014",12.6,"B"
"ISL","SMOKERS","TOT","PC_POP15","A","2015",10.9,
"ISL","SMOKERS","TOT","PC_POP15","A","2016",10.2,
"ISL","SMOKERS","TOT","PC_POP15","A","2017",9.4,
"IRL","SMOKERS","TOT","PC_POP15","A","2015",19,"B"
"IRL","SMOKERS","TOT","PC_POP15","A","2016",19,
"IRL","SMOKERS","TOT","PC_POP15","A","2017",18,
"ITA","SMOKERS","TOT","PC_POP15","A","2013",21.1,
"ITA","SMOKERS","TOT","PC_POP15","A","2014",19.7,
"ITA","SMOKERS","TOT","PC_POP15","A","2015",19.8,
"ITA","SMOKERS","TOT","PC_POP15","A","2016",20,
"JPN","SMOKERS","TOT","PC_POP15","A","2013",19.3,
"JPN","SMOKERS","TOT","PC_POP15","A","2014",19.6,
"JPN","SMOKERS","TOT","PC_POP15","A","2015",18.2,
"JPN","SMOKERS","TOT","PC_POP15","A","2016",18.3,
"KOR","SMOKERS","TOT","PC_POP15","A","2013",19.9,
"KOR","SMOKERS","TOT","PC_POP15","A","2014",20,
"KOR","SMOKERS","TOT","PC_POP15","A","2015",17.3,
"KOR","SMOKERS","TOT","PC_POP15","A","2016",18.4,
"LUX","SMOKERS","TOT","PC_POP15","A","2013",15.7,
"LUX","SMOKERS","TOT","PC_POP15","A","2014",15.3,
"LUX","SMOKERS","TOT","PC_POP15","A","2015",15,
"LUX","SMOKERS","TOT","PC_POP15","A","2016",14.9,
"LUX","SMOKERS","TOT","PC_POP15","A","2017",16,
"MEX","SMOKERS","TOT","PC_POP15","A","2015",7.6,
"MEX","SMOKERS","TOT","PC_POP15","A","2017",7.6,"D"
"NLD","SMOKERS","TOT","PC_POP15","A","2013",18.5,
"NLD","SMOKERS","TOT","PC_POP15","A","2014",19.1,"B"
"NLD","SMOKERS","TOT","PC_POP15","A","2015",19,
"NLD","SMOKERS","TOT","PC_POP15","A","2016",18,
"NZL","SMOKERS","TOT","PC_POP15","A","2013",15.6,
"NZL","SMOKERS","TOT","PC_POP15","A","2014",15.7,
"NZL","SMOKERS","TOT","PC_POP15","A","2015",15,
"NZL","SMOKERS","TOT","PC_POP15","A","2016",14.2,
"NZL","SMOKERS","TOT","PC_POP15","A","2017",13.8,
"NOR","SMOKERS","TOT","PC_POP15","A","2013",15,
"NOR","SMOKERS","TOT","PC_POP15","A","2014",13,
"NOR","SMOKERS","TOT","PC_POP15","A","2015",13,
"NOR","SMOKERS","TOT","PC_POP15","A","2016",12,
"NOR","SMOKERS","TOT","PC_POP15","A","2017",11,
"POL","SMOKERS","TOT","PC_POP15","A","2014",22.7,
"PRT","SMOKERS","TOT","PC_POP15","A","2014",16.8,
"SVK","SMOKERS","TOT","PC_POP15","A","2014",22.9,
"ESP","SMOKERS","TOT","PC_POP15","A","2014",23,
"SWE","SMOKERS","TOT","PC_POP15","A","2013",10.7,
"SWE","SMOKERS","TOT","PC_POP15","A","2014",11.9,
"SWE","SMOKERS","TOT","PC_POP15","A","2015",11.2,
"SWE","SMOKERS","TOT","PC_POP15","A","2016",10.9,
"TUR","SMOKERS","TOT","PC_POP15","A","2014",27.3,
"TUR","SMOKERS","TOT","PC_POP15","A","2016",26.5,
"GBR","SMOKERS","TOT","PC_POP15","A","2013",19,
"GBR","SMOKERS","TOT","PC_POP15","A","2014",19,
"GBR","SMOKERS","TOT","PC_POP15","A","2015",17.8,
"GBR","SMOKERS","TOT","PC_POP15","A","2016",16.1,
"USA","SMOKERS","TOT","PC_POP15","A","2013",13.7,
"USA","SMOKERS","TOT","PC_POP15","A","2014",12.9,
"USA","SMOKERS","TOT","PC_POP15","A","2015",11.4,
"USA","SMOKERS","TOT","PC_POP15","A","2016",11.8,
"BRA","SMOKERS","TOT","PC_POP15","A","2013",11.3,
"BRA","SMOKERS","TOT","PC_POP15","A","2014",8.7,"D"
"BRA","SMOKERS","TOT","PC_POP15","A","2015",7.2,
"CHL","SMOKERS","TOT","PC_POP15","A","2016",24.5,
"CHN","SMOKERS","TOT","PC_POP15","A","2015",24.7,
"EST","SMOKERS","TOT","PC_POP15","A","2014",22.1,
"EST","SMOKERS","TOT","PC_POP15","A","2016",21.3,
"IND","SMOKERS","TOT","PC_POP15","A","2015",11.2,
"IDN","SMOKERS","TOT","PC_POP15","A","2015",39.9,
"ISR","SMOKERS","TOT","PC_POP15","A","2013",16.2,
"ISR","SMOKERS","TOT","PC_POP15","A","2014",17.1,
"ISR","SMOKERS","TOT","PC_POP15","A","2016",19.6,"B"
"ISR","SMOKERS","TOT","PC_POP15","A","2017",17.2,
"RUS","SMOKERS","TOT","PC_POP15","A","2016",30.9,"B"
"SVN","SMOKERS","TOT","PC_POP15","A","2014",18.9,
"ZAF","SMOKERS","TOT","PC_POP15","A","2015",19,
"COL","SMOKERS","TOT","PC_POP15","A","2013",16.2,
"LVA","SMOKERS","TOT","PC_POP15","A","2014",24.1,
"LTU","SMOKERS","TOT","PC_POP15","A","2014",20.4,
"CRI","SMOKERS","TOT","PC_POP15","A","2015",13.4,
