Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Austria,"55,244","46,145","63,000","36,000","37,752","30,491","30,222","28,831","34,565","31,087","25,026","19,553","23,547","33,900","37,260","36,168","37,640","54,810","58,824","41,715","39,741","41,882","30,928","40,010","32,899","27,352","27,685"
Belgium,"30,000","30,000","28,500","26,600","29,586","32,580","24,307","21,761","20,847","18,557","18,360","20,292","22,229","20,960","23,040","23,336","18,820","20,554","14,706","15,991","15,102","10,720","20,619","18,338","18,338","17,505","17,505"
Denmark,"110,000","100,000","85,000","95,000","117,625","106,805","86,806","100,465","65,693","61,507","23,585","32,889","20,803","41,770","32,820","37,741","35,967","33,091","52,335","49,066","48,952","51,791","47,614","64,743","40,950","47,654","44,610"
Finland,"353,774","353,774","353,774","353,774","353,774","353,774","321,586","199,442","197,856","194,357","161,034","44,840","51,804","51,800","68,314","69,192","69,192","54,810","58,824","58,824","52,989","55,843","51,546","53,346","53,346","53,346","53,346"
France,"180,000","72,250","80,000","63,750","75,000","66,035","46,603","32,230","25,885","25,596","22,158","26,906","23,547","28,250","31,050","31,450","35,550","34,246","36,743","17,385","15,897","11,169","13,853","13,337","19,739","16,411","16,411"
Germany,"45,244","36,145","41,667","35,206","36,448","35,256","27,890","25,686","25,608","24,770","20,263","17,816","20,325","21,510","25,723","25,765","22,510","25,810","26,471","26,717","32,519","35,500","35,366","41,233","29,609","36,379","33,776"
Greece,"90,000","70,000","35,000","28,000","29,536","34,362","39,090","28,775","21,020","20,714","17,320","16,592","17,425","18,650","17,540","14,782","19,450","19,450","22,413","21,205","18,215","23,035","21,263","16,004","15,791","17,505","19,934"
Ireland,"63,940","53,940","53,500","53,210","52,500","81,479","77,643","36,531","34,396","43,478","37,600","36,441","36,441","30,510","30,510","33,967","33,967","33,967","44,120","41,725","39,741","41,882","38,660","40,010","52,638","43,764","44,297"
Italy,"67,500","60,000","108,000","42,581","47,690","35,786","48,152","37,795","36,459","36,894","31,163","32,979","33,669","29,830","30,109","30,496","28,830","31,676","46,300","44,044","39,478","39,687","34,912","35,537","32,961","29,727","29,884"
Luxembourg,"86,000","75,000","75,000","49,500","86,000","57,079","59,852","54,786","52,630","50,368","48,000","50,369","50,369","24,700","43,473","44,030","44,030","31,451","33,763","31,925","30,414","32,052","29,587","30,000","30,000","30,000","30,000"
Netherlands,"23,850","25,000","26,550","23,850","23,850","24,384","20,572","13,810","14,056","16,985","14,703","15,757","29,199","17,730","17,730","18,240","16,625","16,957","19,841","19,841","22,079","23,268","21,478","22,228","22,228","22,228","22,228"
Norway,"220,000","200,000","212,500","151,099","101,744","85,000","72,520","62,209","64,918","49,872","44,561","35,874","37,676","48,234","52,790","53,490","53,325","58,235","47,766","47,766","47,794","45,372","41,223","37,074","32,925","28,775","28,775"
Portugal,"50,000","55,000","46,667","31,500","32,428","43,171","45,902","38,841","30,483","29,339","25,398","31,310","25,839","31,000","34,075","34,512","34,512","20,554","27,206","38,239","29,806","31,411","28,995","30,007","30,007","30,007","30,007"
Spain,"160,000","125,000","122,500","91,000","74,418","79,880","84,395","63,880","52,755","53,820","43,596","32,000","41,202","48,420","46,350","47,055","47,371","47,671","50,697","46,621","43,993","44,530","42,110","42,012","38,807","35,138","35,755"
Sweden,"140,000","130,000","115,000","95,000","117,625","62,655","64,829","65,771","63,190","61,022","41,626","33,702","34,738","41,900","31,648","35,970","35,970","37,059","38,339","32,471","41,471","54,494","44,246","46,225","41,447","41,447","41,447"
Switzerland,"124,000","153,800","228,875","47,460","52,823","54,850","41,665","37,234","34,294","33,422","29,568","16,082","19,149","22,340","23,580","25,420","21,470","23,180","25,584","25,190","27,710","30,609","28,805","30,440","27,356","27,245","27,245"
United Kingdom,"53,940","43,940","43,500","43,210","42,500","42,004","34,846","39,491","41,667","29,126","26,718","25,926","30,620","34,340","39,041","33,249","28,320","27,163","29,569","24,628","32,297","40,167","47,479","46,835","41,925","40,000","31,165"
